model,pruning_pct,is_star,task,"acc_norm,none","acc_norm_stderr,none",accuracy,acc_norm,perplexity,word_perplexity,bits_per_byte,"exact_match,strict-match","exact_match_stderr,strict-match","exact_match,flexible-extract","exact_match_stderr,flexible-extract","prompt_level_strict_acc,none","prompt_level_strict_acc_stderr,none","inst_level_strict_acc,none","prompt_level_loose_acc,none","prompt_level_loose_acc_stderr,none","inst_level_loose_acc,none"
Llama-3.2-1B-Instruct,0,False,gsm8k,,,,,,,,0.3389,0.013,0.3389,0.013,,,,,,
Llama-3.2-1B-Instruct,0,False,ifeval,,,,,,,,,,,,0.3641,0.0207,0.5108,0.4159,0.0212,0.56
Llama-3.2-1B-Instruct,0,False,lambada_openai,,,,,6.58,0.0,0.0,,,,,,,,,,
Llama-3.2-1B-Instruct,0,False,leaderboard_musr,0.3426,0.0168,,,,,,,,,,,,,,,
Llama-3.2-1B-Instruct,0,False,mmlu,,,0.4557,N/A,,,,,,,,,,,,,
Llama-3.2-1B-Instruct,0,False,truthfulqa_mc1,,,0.2729,N/A,,,,,,,,,,,,,
Llama-3.2-1B-Instruct,0,False,truthfulqa_mc2,,,0.4383,N/A,,,,,,,,,,,,,
Llama-3.2-1B-I-pruned-10%,10,False,gsm8k,,,,,,,,0.1926,0.0109,0.1713,0.0104,,,,,,
Llama-3.2-1B-I-pruned-10%,10,False,ifeval,,,,,,,,,,,,0.2218,0.0179,0.3525,0.2514,0.0187,0.3825
Llama-3.2-1B-I-pruned-10%,10,False,lambada_openai,,,,,14.11,0.0,0.0,,,,,,,,,,
Llama-3.2-1B-I-pruned-10%,10,False,leaderboard_musr,0.3836,0.0174,,,,,,,,,,,,,,,
Llama-3.2-1B-I-pruned-10%,10,False,mmlu,,,0.4027,N/A,,,,,,,,,,,,,
Llama-3.2-1B-I-pruned-10%,10,False,truthfulqa_mc1,,,0.2632,N/A,,,,,,,,,,,,,
Llama-3.2-1B-I-pruned-10%,10,False,truthfulqa_mc2,,,0.4423,N/A,,,,,,,,,,,,,
Llama-3.2-1B-I-pruned-40%,40,True,gsm8k,,,,,,,,0.0159,0.0034,0.0167,0.0035,,,,,,
Llama-3.2-1B-I-pruned-40%,40,True,ifeval,,,,,,,,,,,,0.146,0.0152,0.259,0.1534,0.0155,0.271
Llama-3.2-1B-I-pruned-40%,40,True,lambada_openai,,,,,93.47,0.0,0.0,,,,,,,,,,
Llama-3.2-1B-I-pruned-40%,40,True,leaderboard_musr,0.3796,0.0173,,,,,,,,,,,,,,,
Llama-3.2-1B-I-pruned-40%,40,True,mmlu,,,0.2614,N/A,,,,,,,,,,,,,
Llama-3.2-1B-I-pruned-40%,40,True,truthfulqa_mc1,,,0.2436,N/A,,,,,,,,,,,,,
Llama-3.2-1B-I-pruned-40%,40,True,truthfulqa_mc2,,,0.437,N/A,,,,,,,,,,,,,
Llama-3.2-1B-I-pruned-60%,60,False,gsm8k,,,,,,,,0.0076,0.0024,0.019,0.0038,,,,,,
Llama-3.2-1B-I-pruned-60%,60,False,ifeval,,,,,,,,,,,,0.1368,0.0148,0.2506,0.1423,0.015,0.2638
Llama-3.2-1B-I-pruned-60%,60,False,lambada_openai,,,,,1317.59,0.0,0.0,,,,,,,,,,
Llama-3.2-1B-I-pruned-60%,60,False,leaderboard_musr,0.3466,0.0168,,,,,,,,,,,,,,,
Llama-3.2-1B-I-pruned-60%,60,False,mmlu,,,0.246,N/A,,,,,,,,,,,,,
Llama-3.2-1B-I-pruned-60%,60,False,truthfulqa_mc1,,,0.2289,N/A,,,,,,,,,,,,,
Llama-3.2-1B-I-pruned-60%,60,False,truthfulqa_mc2,,,0.444,N/A,,,,,,,,,,,,,
