model,pruning_pct,is_star,task,"word_perplexity,none","byte_perplexity,none","bits_per_byte,none",accuracy,acc_norm,perplexity,word_perplexity,bits_per_byte,"exact_match,strict-match","exact_match_stderr,strict-match","exact_match,flexible-extract","exact_match_stderr,flexible-extract","prompt_level_strict_acc,none","prompt_level_strict_acc_stderr,none","inst_level_strict_acc,none","prompt_level_loose_acc,none","prompt_level_loose_acc_stderr,none","inst_level_loose_acc,none","acc_norm,none","acc_norm_stderr,none"
Llama-3.2-3B,0,False,arc_challenge,,,,0.4241,0.4582,,,,,,,,,,,,,,,
Llama-3.2-3B,0,False,boolq,,,,0.7294,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B,0,False,gsm8k,,,,,,,,,0.2638,0.0121,0.2684,0.0122,,,,,,,,
Llama-3.2-3B,0,False,hellaswag,,,,0.5529,0.7357,,,,,,,,,,,,,,,
Llama-3.2-3B,0,False,ifeval,,,,,,,,,,,,,0.0943,0.0126,0.1763,0.0961,0.0127,0.1823,,
Llama-3.2-3B,0,False,lambada_openai,,,,,,3.95,0.0,0.0,,,,,,,,,,,,
Llama-3.2-3B,0,False,leaderboard_musr,,,,,,,,,,,,,,,,,,,0.3638,0.0171
Llama-3.2-3B,0,False,mmlu,,,,0.5605,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B,0,False,piqa,,,,0.7677,0.7748,,,,,,,,,,,,,,,
Llama-3.2-3B,0,False,truthfulqa_mc1,,,,0.2497,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B,0,False,truthfulqa_mc2,,,,0.3919,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B,0,False,wikitext,9.2628,1.5163,0.6006,,,,,,,,,,,,,,,,,
Llama-3.2-3B,0,False,winogrande,,,,0.6953,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-10%,10,True,arc_challenge,,,,0.378,0.3959,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-10%,10,True,boolq,,,,0.5046,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-10%,10,True,gsm8k,,,,,,,,,0.135,0.0094,0.1418,0.0096,,,,,,,,
Llama-3.2-3B-pruned-10%,10,True,hellaswag,,,,0.5116,0.6853,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-10%,10,True,ifeval,,,,,,,,,,,,,0.1312,0.0145,0.235,0.1442,0.0151,0.2518,,
Llama-3.2-3B-pruned-10%,10,True,lambada_openai,,,,,,6.11,0.0,0.0,,,,,,,,,,,,
Llama-3.2-3B-pruned-10%,10,True,leaderboard_musr,,,,,,,,,,,,,,,,,,,0.373,0.0173
Llama-3.2-3B-pruned-10%,10,True,mmlu,,,,0.4333,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-10%,10,True,piqa,,,,0.7454,0.7508,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-10%,10,True,truthfulqa_mc1,,,,0.2203,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-10%,10,True,truthfulqa_mc2,,,,0.3767,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-10%,10,True,wikitext,11.8759,1.5884,0.6676,,,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-10%,10,True,winogrande,,,,0.6748,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-20%,20,False,arc_challenge,,,,0.3456,0.3669,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-20%,20,False,boolq,,,,0.3972,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-20%,20,False,gsm8k,,,,,,,,,0.0607,0.0066,0.0728,0.0072,,,,,,,,
Llama-3.2-3B-pruned-20%,20,False,hellaswag,,,,0.4575,0.6158,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-20%,20,False,ifeval,,,,,,,,,,,,,0.122,0.0141,0.229,0.1442,0.0151,0.2542,,
Llama-3.2-3B-pruned-20%,20,False,lambada_openai,,,,,,8.16,0.0,0.0,,,,,,,,,,,,
Llama-3.2-3B-pruned-20%,20,False,leaderboard_musr,,,,,,,,,,,,,,,,,,,0.3439,0.0169
Llama-3.2-3B-pruned-20%,20,False,mmlu,,,,0.2909,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-20%,20,False,piqa,,,,0.7209,0.7307,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-20%,20,False,truthfulqa_mc1,,,,0.2387,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-20%,20,False,truthfulqa_mc2,,,,0.4302,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-20%,20,False,wikitext,15.8608,1.6767,0.7457,,,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-20%,20,False,winogrande,,,,0.6385,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-30%,30,False,arc_challenge,,,,0.2807,0.3123,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-30%,30,False,boolq,,,,0.4269,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-30%,30,False,gsm8k,,,,,,,,,0.0273,0.0045,0.0364,0.0052,,,,,,,,
Llama-3.2-3B-pruned-30%,30,False,hellaswag,,,,0.3973,0.5232,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-30%,30,False,ifeval,,,,,,,,,,,,,0.1534,0.0155,0.2722,0.1701,0.0162,0.2878,,
Llama-3.2-3B-pruned-30%,30,False,lambada_openai,,,,,,14.72,0.0,0.0,,,,,,,,,,,,
Llama-3.2-3B-pruned-30%,30,False,leaderboard_musr,,,,,,,,,,,,,,,,,,,0.3373,0.0168
Llama-3.2-3B-pruned-30%,30,False,mmlu,,,,0.2307,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-30%,30,False,piqa,,,,0.6866,0.6812,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-30%,30,False,truthfulqa_mc1,,,,0.2607,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-30%,30,False,truthfulqa_mc2,,,,0.439,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-30%,30,False,wikitext,23.3515,1.8025,0.85,,,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-30%,30,False,winogrande,,,,0.5927,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-40%,40,False,arc_challenge,,,,0.2423,0.2654,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-40%,40,False,boolq,,,,0.4208,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-40%,40,False,gsm8k,,,,,,,,,0.0083,0.0025,0.0182,0.0037,,,,,,,,
Llama-3.2-3B-pruned-40%,40,False,hellaswag,,,,0.3361,0.4145,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-40%,40,False,ifeval,,,,,,,,,,,,,0.1645,0.016,0.2782,0.1738,0.0163,0.2878,,
Llama-3.2-3B-pruned-40%,40,False,lambada_openai,,,,,,51.02,0.0,0.0,,,,,,,,,,,,
Llama-3.2-3B-pruned-40%,40,False,leaderboard_musr,,,,,,,,,,,,,,,,,,,0.3558,0.017
Llama-3.2-3B-pruned-40%,40,False,mmlu,,,,0.2587,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-40%,40,False,piqa,,,,0.6534,0.6474,,,,,,,,,,,,,,,
